Session ID,Title,Format,Type,EstSeating,Topic,Sponsor,Cosponsor,Duration
6233,Open Hearing of the MLA Delegate Assembly,Workshop,MLA Committees,60,The Profession: General,Delegate Assembly Organizing Committee,,75
6234,[Canceled] Open Hearing on Resolutions,Workshop,MLA Committees,60,The Profession: General,Delegate Assembly Organizing Committee,,75
6235,Delegate Assembly Orientation Breakfast,Reception,Social Events,60,,,,75
6236,Closed meeting of the DAOC,Reception,Social Events,13,,,,75
6239,"No Fear Shakespeare: On Paraphrase, Transmission, and Survival",Panel,Forum Sessions,60,British Literature: Shakespeare,LLC Shakespeare,,75
6242,"Making and Using the MLA International Bibliography for the Twenty-First Century: Human Expertise, Digital Tools",Roundtable,MLA Committees,35,The Profession: Research and Bibliography,Advisory Committee on the MLA International Bibliography,,75
6244,The Novel about Time: Phenomenologies of Time-Consciousness in Minority Fictions of the United States,Panel,Special Sessions,20,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6252,Postsecular Political Theologies,Roundtable,Forum Sessions,60,"Genre, Theory, Method: Literary Criticism and Theory",TC Religion and Literature,,75
6258,"Approaches to the Rural in Galician Studies: Gender, Sexuality, and Resistance",Panel,Forum Sessions,20,Galician Literature: Galician Literature,LLC Galician,,75
6264,Modern Latin American Poetries in the Classroom,Roundtable,MLA Committees,35,Latin American Literature: Latin American Literature,MLA Publications Committee,,75
6266,The Holocaust and New Jewish Fiction,Panel,Special Sessions,40,Jewish Literature: Jewish Literature,,,75
6269,The Global Small Magazine,Panel,Forum Sessions,25,African Literatures: African Literatures,LLC African to 1990,,75
6292,Legacies of Perpetration: German Family Memory and the Nazi Past,Panel,Allied Organizations,50,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",American Psychoanalytic Association,,75
6294,The State of the Revolution (of the Ordinary): Early Career Scholars Respond to Moi,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6306,Committee on K-16 Alliances meeting,Reception,Social Events,10,,,,75
6311,Cinéma-monde francophone,Panel,Forum Sessions,30,Francophone Literature: General,LLC Francophone,,75
6317,George Sand’s Humanistic Pedagogy,Panel,Allied Organizations,25,French Literature: Eighteenth and Nineteenth Centuries,George Sand Association,,75
6333,"Race, Indigeneity, and Articulations of Sovereignty across the Global South",Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,CLCS Global South,,75
6341,Black Queer Contributions,Panel,Forum Sessions,50,American Literature: Twentieth and Twenty-First Centuries,LLC African American,,75
6345,Middle English Affects,Roundtable,Forum Sessions,40,British Literature: Old and Middle English,LLC Middle English,,75
6347,Joyce and Paris,Panel,Allied Organizations,50,British Literature: Twentieth and Twenty-First Centuries,International James Joyce Foundation,,75
6348,Disability Bioethics,Panel,Forum Sessions,30,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",TC Disability Studies,,75
6351,"New Developments in Sylvia Plath Studies: Archives, Biography, and Feminism",Panel,Special Sessions,100,American Literature: Twentieth and Twenty-First Centuries,,,75
6354,Human and Nonhuman Agency in Twentieth-Century Fiction and Twenty-First-Century Technologies,Panel,Special Sessions,35,Comparative Literature: Twentieth and Twenty-First Centuries,,,75
6355,Bad Books,Panel,Special Sessions,25,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance",,,75
6358,Remembering Hayden White (12 July 1928–5 March 2018),Reception,Social Events,35,,,,75
6359,"From “The Burden of History” to The Practical Past: A Celebration of Hayden White’s Contributions to History, Theory, and Literature",Roundtable,Special Sessions,20,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6361,Paris Was a Woman,Panel,Special Sessions,30,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",,,75
6364,Fake Scotlands: From Ossian to Outlander,Panel,Special Sessions,20,Other Literature in English: Scottish,,,75
6371,Improvisation in Nineteenth-Century American Literature,Panel,Special Sessions,35,American Literature: Before 1900,,,75
6372,Constructed Languages,Panel,Forum Sessions,30,Linguistics: Composite Languages,TM Language Theory,,75
6375,When Grendel Met Grumpy Cat: Historical Englishes on the Internet,Roundtable,Forum Sessions,50,Other Literatures: Other Literatures,TM Language Theory,LLC Old English,75
6378,New Currents in Medieval Iberian Studies,Panel,Forum Sessions,30,Spanish Literature: Medieval and Renaissance,LLC Medieval Iberian,,75
6381,Political Imagination in Iberian and Latin American Graphic Narratives,Panel,Special Sessions,30,Latin American Literature: Latin American Literature,,,75
6385,MLQ and the Project of Literary History,Roundtable,Forum Sessions,80,"Genre, Theory, Method: Literary History",TC History and Literature,,75
6386,"Graduate Admissions: Past, Present, and Especially Future",Roundtable,Special Sessions,60,The Profession: General,,,75
6390,Posthumous Returns of African American Film and Literature,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75
6395,"China’s Environment, Society, and Culture: An Interdisciplinary Roundtable",Roundtable,Forum Sessions,40,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",LLC Modern and Contemporary Chinese,,75
6398,Shakespeare and Amateur Hour,Panel,Forum Sessions,15,British Literature: Shakespeare,LLC Shakespeare,,75
6401,"Race, Recovery, and Early African American Print Culture",Panel,Special Sessions,25,American Literature: Before 1900,,,75
6411,"Together Again: Literature, Creative Writing, and Composition",Panel,MLA Committees,60,Teaching: Writing,MLA Committee on K–16 Alliances,,75
6426,Bringing Translation and Interpreting to the World Language Curriculum,Roundtable,Allied Organizations,25,"Genre, Theory, Method: Translation",American Translators Association,,75
6431,Humanizing Online Literature Classes,Workshop,Special Sessions,30,Teaching: Literature,,,75
6437,Popular Music and Society in Spain,Panel,Forum Sessions,25,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",LLC 20th- and 21st-Century Spanish and Iberian,,75
6453,"Race, Age, and Futurities",Panel,Forum Sessions,40,American Literature: General,TC Age Studies,,75
6455,Why Teach Literature?,Panel,Forum Sessions,100,Teaching: Literature,TM The Teaching of Literature,,75
6456,Hawthorne and the Digital Humanities,Panel,Allied Organizations,20,American Literature: Before 1900,Nathaniel Hawthorne Society,,75
6465,What Is Humanities Research Now?,Roundtable,MLA Committees,30,The Profession: Research and Bibliography,Advisory Committee on the MLA International Bibliography,,75
6466,Failure/Échec,Panel,Forum Sessions,30,French Literature: Eighteenth and Nineteenth Centuries,LLC 18th-Century French,,75
6470,Reading Whitman Anew,Panel,Special Sessions,25,American Literature: Before 1900,,,75
6480,Poetics and Lineation,Roundtable,Forum Sessions,50,"Genre, Theory, Method: Poetry",GS Poetry and Poetics,,75
6481,Linguistic Reimaginings in Speculative Fiction,Panel,Forum Sessions,20,Linguistics: General,LSL Linguistics and Literature,,75
6482,Alternate Linguistic Environments in Speculative Fiction,Panel,Forum Sessions,20,Linguistics: General,LSL Linguistics and Literature,,75
6483,Autotheoretical Grammar: Undoing the Singular and Other Experiments in Political Endurance,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6493,The Uncanny Topicality of African American Literature,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75
6497,"Build Your Online Presence, Share Your Scholarship, and Collaborate on MLA Commons and Humanities Commons",Workshop,MLA Committees,30,The Profession: General,MLA Career Center,,75
6503,Revisiting Immigration in Asian American Literature,Panel,Forum Sessions,35,American Literature: General,LLC Asian American,,75
6506,Fighting Exploitation of Contingent Faculty Members from Within: How Tenure-Stream Allies Can Help Create Equity on Campus,Workshop,Special Sessions,50,The Profession: General,,,75
6507,Historicizing the Human in Human Rights,Panel,Forum Sessions,40,"Genre, Theory, Method: Literary Criticism and Theory",TC History and Literature,"TC Marxism, Literature, and Society",75
6508,The Eunuch: Past(s) and Present(s),Panel,Special Sessions,30,Comparative Literature: General,,,75
6518,Shakespearean Phenomenology,Panel,Special Sessions,25,British Literature: Shakespeare,,,75
6521,"Cash Bar Arranged by the Minnesota Review; Mediations; and the Forum TC Marxism, Literature, and Society",Cash bar,Social Events,100,,,,75
6523,New Medias in Literature and Anthropology,Panel,Forum Sessions,40,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance",TC Anthropology and Literature,,75
6527,Fictions of Belonging,Roundtable,Forum Sessions,60,"Genre, Theory, Method: Prose Fiction",GS Prose Fiction,,75
6531,Prison Literature and Mass Incarceration,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75
6534,Bad Reading,Panel,Allied Organizations,30,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance",Reception Study Society,,75
6537,Asian American Reading Publics,Roundtable,Forum Sessions,30,American Literature: Twentieth and Twenty-First Centuries,LLC Asian American,,75
6539,Thinking Black Feminism and the Human: The Absence/Presence of Gender in Black Studies,Panel,Special Sessions,25,American Literature: Twentieth and Twenty-First Centuries,,,75
6540,Guess Who’s Coming to Campus: Writers from the Global South and Cold War Academic Cultures,Roundtable,Special Sessions,50,Comparative Literature: Twentieth and Twenty-First Centuries,,,75
6543,Mark Twain and Globalism,Panel,Allied Organizations,30,American Literature: Before 1900,Mark Twain Circle of America,,75
6551,“How to Be Human Now”: A Poetry Reading with Marilyn Nelson,Event,Special Events,75,American Literature: Twentieth and Twenty-First Centuries,,,75
6552,Digital Approaches to Place-Based Teaching,Panel,Special Sessions,30,Teaching: General,,,75
6560,"Diversity, Equity, and Inclusion in Your Department",Workshop,Special Sessions,30,The Profession: General,,,75
6561,Chaucer’s Walls,Panel,Forum Sessions,30,British Literature: Old and Middle English,LLC Chaucer,,75
6563,The Polar Imagination,Panel,Special Sessions,30,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",,,75
6569,Ecocritical Fieldwork,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6570,Crosscurrents in Lawrence Studies,Panel,Allied Organizations,25,British Literature: Twentieth and Twenty-First Centuries,D. H. Lawrence Society of North America,,75
6573,Transatlantic Melodrama,Panel,Forum Sessions,35,British Literature: Nineteenth Century,LLC Victorian and Early-20th-Century English,,75
6576,Poetry and Performance,Panel,Forum Sessions,70,American Literature: General,LLC Late-19th- and Early-20th-Century American,,75
6586,Antiracist Pedagogy and Assessment at the Community College,Roundtable,Special Sessions,40,Teaching: Writing,,,75
6589,Laughing at Power,Panel,Forum Sessions,40,Spanish Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century Spanish and Iberian,,75
6590,Language and the Interdisciplinary Department,Roundtable,MLA Committees,50,The Profession: Foreign Languages,MLA Office of Programs,,75
6591,Iberian Cinema Studies in 2020: State(s) of the Field,Roundtable,Special Sessions,40,Spanish Literature: Twentieth and Twenty-First Centuries,,,75
6598,Redefining Religion in Nineteenth-Century British Literature: Sacred Forms and Shifting Practices,Panel,Special Sessions,35,British Literature: Nineteenth Century,,,75
6599,African American Transnationalism,Panel,Forum Sessions,40,American Literature: Twentieth and Twenty-First Centuries,TC Race and Ethnicity Studies,,75
6600,Periodizing Race,Roundtable,Forum Sessions,100,British Literature: General,LLC Shakespeare,LLC Chaucer,75
6601,Biology and Poetics,Panel,Forum Sessions,100,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",TM Literary Criticism,,75
6604,"Migration, Islam, Islamophobia",Panel,Forum Sessions,50,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",TC Religion and Literature,,75
6605,"Ruin, Rot, and Decay:  Literary Form, Textual Cultures, and the Environmental Humanities",Roundtable,Special Sessions,40,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6606,Teaching Humanity? The Cultural Work of Literature Instruction in the United States,Panel,Special Sessions,30,Teaching: Literature,,,75
6608,Music and Lyrics in Medieval and Early Modern Performance,Panel,Allied Organizations,25,"Genre, Theory, Method: Drama",Lyrica Society for Word-Music Relations,,75
6613,Disability and Surveillance,Panel,MLA Committees,40,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",MLA Committee on Disability Issues in the Profession,,75
6616,Advancing the Public Humanities,Panel,Allied Organizations,50,The Profession: General,Community College Humanities Association,,75
6617,Thoreau and the Limits of the Human,Panel,Allied Organizations,30,American Literature: Before 1900,Thoreau Society,,75
6620,Colonial Translation: Rendering Indigenous and Western Exchanges,Panel,Forum Sessions,30,Latin American Literature: Latin American Literature,LLC Colonial Latin American,,75
6625,V. S. Naipaul Today,Panel,Special Sessions,20,Other Literature in English: Caribbean,,,75
6627,Historicizing #MeToo,Panel,Special Sessions,25,"Genre, Theory, Method: Film, Television, and Other Media",,,75
6628,Robber Barons and Other Villains,Panel,Forum Sessions,70,American Literature: General,LLC Late-19th- and Early-20th-Century American,,75
6631,Wharton and Disability,Panel,Allied Organizations,40,American Literature: Twentieth and Twenty-First Centuries,Edith Wharton Society,,75
6635,"Jewish Objects, Jewish Materials",Panel,Forum Sessions,60,Jewish Literature: Jewish Literature,CLCS Global Jewish,,75
6646,Affective Approaches to the Study of Contemporary Spanish LGBTQI Culture I,Working Group,Working Groups,30,Spanish Literature: Twentieth and Twenty-First Centuries,,,75
6652,Nineteenth-Century Comparative Race and Indigeneity,Roundtable,Forum Sessions,25,American Literature: Before 1900,LLC 19th-Century American,,75
6660,Gendering the Human,Roundtable,Allied Organizations,40,Comparative Literature: Medieval and Renaissance,Society for the Study of Early Modern Women and Gender,,75
6664,World Literature and New Humanism in the Digital Age,Roundtable,Special Sessions,30,Comparative Literature: General,,,75
6665,"Bodies, Borders, and Boundaries: Embodiments of Multicultural and Transnational Children",Panel,Allied Organizations,25,"Genre, Theory, Method: Children’s Literature",Children’s Literature Association,,75
6666,Indigenous Futurisms from Latin America,Panel,Special Sessions,20,Latin American Literature: Latin American Literature,,,75
6670,"The Poetry of the Americas: Responses, Extensions, Critiques",Roundtable,Special Sessions,30,Comparative Literature: Twentieth and Twenty-First Centuries,,,75
6674,High-Impact Practices in the Teaching of Romance Linguistics,Roundtable,Forum Sessions,25,Linguistics: Foreign Languages,LSL Romance Linguistics,,75
6677,Latin America and the Rise of the Right: Citizenship and Belonging,Panel,Forum Sessions,20,"Portuguese, Luso-Brazilian, and Lusophone Literatures: Portuguese, Luso-Brazilian, and Lusophone Literatures",LLC 20th- and 21st-Century Latin American,LLC Luso-Brazilian,75
6687,Re-Viewing Italian Cinema: New Theoretical Approaches,Panel,Allied Organizations,35,Italian Literature: Italian Literature,American Association of Teachers of Italian,,75
6690,What Is a Human? Literature and the Anthropology of Man,Panel,Forum Sessions,40,British Literature: Nineteenth Century,TC Anthropology and Literature,,75
6694,Reading Motherhood Now,Roundtable,Special Sessions,40,American Literature: Twentieth and Twenty-First Centuries,,,75
6696,"Being Human, Making Waste",Panel,Forum Sessions,25,Spanish Literature: Eighteenth and Nineteenth Centuries,LLC 18th- and 19th-Century Spanish and Iberian,,75
6698,Marlowe's Source Material: New Directions,Panel,Allied Organizations,40,British Literature: Renaissance and Elizabethan,Marlowe Society of America,,75
6699,Architextures of Knowledge,Panel,Allied Organizations,40,"Genre, Theory, Method: Electronic Technology (Teaching, Research, and Theory)",Society for Textual Scholarship,,75
6700,Digital Scholarship in Tenure and Promotion,Roundtable,MLA Committees,60,The Profession: General,MLA Committee on Information Technology,,75
6701,Asia in the Anglophone,Panel,Forum Sessions,50,Comparative Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century English and Anglophone,,75
6703,Comparison against Time,Panel,Forum Sessions,50,Comparative Literature: General,CLCS 20th- and 21st-Century,,75
6706,Placeholder - CLCS Hemispheric American,Panel,Forum Sessions,25,African Literatures: African Literatures,CLCS Hemispheric American,,75
6711,Alphabetic Memes: Tracking Imperial Language Conquest across Persia and the Stans,Panel,Forum Sessions,70,Comparative Literature: General,CLCS 20th- and 21st-Century,,75
6712,Voice: Remediated Embodiments,Panel,Forum Sessions,40,"Genre, Theory, Method: Film, Television, and Other Media",MS Opera and Musical Performance,,75
6717,Whither Sex?,Roundtable,Forum Sessions,200,Other Literatures: Other Literatures,TC Sexuality Studies,,75
6721,Critical Caste Studies,Roundtable,Allied Organizations,40,Other Literature in English: Indian,South Asian Literary Association,,75
6724,Theorizing #MeToo,Roundtable,Forum Sessions,100,Other Literatures: Other Literatures,TC Sexuality Studies,TM Literary and Cultural Theory,75
6725,American Women’s Writing and the Genealogies of Queer Thought,Roundtable,Special Sessions,30,American Literature: General,,,75
6726,Pre-Texts Workshop,Workshop,Special Sessions,25,Teaching: Literature,,,75
6730,“Grown-Ass Women”: Understanding and Teaching Angry Texts in Several Genres,Roundtable,Special Sessions,30,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",,,75
6732,Reading Poverty in United States Literature: Theories and Methods,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75
6733,Teaching Modern Drama I,Working Group,Working Groups,15,Teaching: Literature,,,75
6735,"New Materialism, Old Material",Panel,Forum Sessions,40,Comparative Literature: General,CLCS Classical and Modern,,75
6736,Elena Ferrante on My Mind,Panel,Forum Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",TC Cognitive and Affect Studies,,75
6743,Lyric Keywords,Roundtable,Forum Sessions,30,British Literature: Renaissance and Elizabethan,LLC 16th-Century English,,75
6744,The Sociology of French Culture: In Honor of Priscilla Parkhurst Ferguson,Roundtable,Forum Sessions,30,French Literature: Eighteenth and Nineteenth Centuries,LLC 19th-Century French,,75
6749,"Poe, Islands, Archipelagoes",Panel,Allied Organizations,35,American Literature: Before 1900,Poe Studies Association,,75
6750,New Work in Sixteenth-Century French Literary and Cultural Studies,Panel,Forum Sessions,35,French Literature: Medieval and Renaissance,LLC 16th-Century French,,75
6751,Spenser and the Digital Humanities,Roundtable,Allied Organizations,30,British Literature: Renaissance and Elizabethan,International Spenser Society,"Society for the History of Authorship, Reading, and Publishing",75
6753,Nature/Culture: Perspectives from Sixteenth-Century French Literature,Panel,Forum Sessions,40,French Literature: Medieval and Renaissance,LLC 16th-Century French,,75
6763,“Exophony” and Other Challenges to Thinking National Literatures,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Korean,,75
6765,What Is Living and What Is Dead in Theory,Roundtable,Forum Sessions,100,"Genre, Theory, Method: Literary Criticism and Theory",TM Literary and Cultural Theory,,75
6769,Forms of New and Old Authoritarianism in Spain,Panel,Forum Sessions,45,Spanish Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century Spanish and Iberian,,75
6774,Bibliopedagogy,Panel,Forum Sessions,30,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance","TM Book History, Print Cultures, Lexicography",,75
6775,"(Re)Making Early Middle English: New Considerations of Postconquest Judgment, Race, Nostalgia, and Periodization in Celebration of the Launch of Early Middle English",Panel,Special Sessions,40,British Literature: Old and Middle English,,,75
6776,"Posthuman, Inhuman",Panel,Forum Sessions,50,Comparative Literature: Twentieth and Twenty-First Centuries,TC Philosophy and Literature,,75
6779,Writing Identity from Coast to Coast: Developing Self and Social Awareness through Creative Writing Pedagogy in Composition and Literature,Workshop,Special Sessions,20,Teaching: Writing,,,75
6781,"Indigenous Ontologies: Human, Territory, Animal, and Plant Lives Interrelationships in Contemporary Indigenous Literatures",Panel,Special Sessions,20,Other Literatures: Other Literatures,,,75
6782,Repurposing Chaucer,Roundtable,Forum Sessions,40,British Literature: Old and Middle English,LLC Chaucer,,75
6783,Being Folk: How Folkloristics Humanizes Cultural Processes,Panel,Allied Organizations,20,Comparative Literature: General,American Folklore Society,,75
6786,The Rambling Cash Bar with the Forums LLC Restoration and Early-18th-Century English and LLC Late 18th-Century English,Cash bar,Social Events,50,,,,75
6788,Bad Art,Roundtable,Forum Sessions,20,Comparative Literature: General,LLC Slavic and East European,,75
6789,Central Asian Literature: Subjects and Worlds,Panel,Forum Sessions,15,Slavic and East European Literatures: Slavic and East European Literatures,LLC Russian and Eurasian,,75
6790,Representing the Unprecedented,Panel,Forum Sessions,50,British Literature: Nineteenth Century,LLC Victorian and Early-20th-Century English,,75
6794,Palestine and Human Rights,Panel,Forum Sessions,20,Arabic Literature: Arabic Literature,LLC Arabic,,75
6795,The Multilingual Maghreb,Panel,Forum Sessions,20,Comparative Literature: General,LLC Arabic,LLC Francophone,75
6797,Literature and the Environment in Europe,Panel,Forum Sessions,15,Comparative Literature: Twentieth and Twenty-First Centuries,CLCS European Regions,,75
6799,Comic Lives,Panel,Forum Sessions,30,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",GS Life Writing,,75
6800,Life Writing on Contested Ground,Panel,Forum Sessions,50,"Genre, Theory, Method: Nonfictional Prose",GS Life Writing,,75
6802,John Clare: Conversations in Song,Panel,Allied Organizations,25,British Literature: Nineteenth Century,John Clare Society of North America,,75
6804,"1990 at Thirty: Theory, Interventions, Disciplines",Roundtable,Special Sessions,75,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6805,Milton's Unruly Environments,Panel,Allied Organizations,50,British Literature: Seventeenth Century,Milton Society of America,,75
6808,New Romanticisms,Panel,Allied Organizations,50,British Literature: Nineteenth Century,Keats-Shelley Association of America,,75
6812,Theory’s Seventeenth Century,Panel,Forum Sessions,20,French Literature: Seventeenth Century,LLC 17th-Century French,,75
6814,Career Opportunities in Two-Year Colleges,Roundtable,MLA Committees,30,The Profession: General,ADE Executive Committee,ADFL Executive Committee,75
6817,Human Rights and the Human,Panel,Plenary Sessions,100,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6820,Sustaining and Building the English Major: Models for Success,Roundtable,MLA Committees,40,The Profession: English and American,ADE Executive Committee,,75
6821,Preconvention Workshop on Career Directions for PhDs in English,Roundtable,MLA Committees,50,The Profession: English and American,ADE Executive Committee,,75
6823,New Literary Realisms,Panel,Special Sessions,30,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6832,Our Changing Workplace: Contradictions and Strategies of Faculty Governance,Roundtable,MLA Committees,30,The Profession: General,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,,75
6838,Political Commitments / Professional Responsibilities,Roundtable,MLA Committees,100,The Profession: General,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,,75
6839,Latinx Literature since 2010,Roundtable,Special Sessions,40,American Literature: Twentieth and Twenty-First Centuries,,,75
6844,Poetry in Motion: Teaching Metrics through Performance,Roundtable,Forum Sessions,35,Teaching: Literature,TM Language Theory,,75
6849,"Milton and Donne: Religion, Politics, Aesthetics",Panel,Allied Organizations,50,British Literature: Seventeenth Century,Milton Society of America,John Donne Society,75
6850,PMLA: How Members Shape the Journal,Roundtable,MLA Committees,50,The Profession: Publishing and Editing,PMLA Editorial Board,,75
6851,Teaching the Humanities through the Global Hispanophone,Roundtable,Forum Sessions,30,Teaching: Literature,CLCS Global Hispanophone,,75
6857,Seventeenth-Century Race Thinking: Embodiment,Roundtable,Forum Sessions,50,British Literature: Seventeenth Century,LLC 17th-Century English,,75
6859,Life Writing and the Life of Faith,Panel,Allied Organizations,35,"Genre, Theory, Method: Nonfictional Prose",Conference on Christianity and Literature,,75
6860,Empathy and the Postcolonial,Panel,Special Sessions,35,Other Literature in English: General,,,75
6861,Scholarly Editing Now,Roundtable,Forum Sessions,30,American Literature: General,TM Bibliography and Scholarly Editing,,75
6864,Revising Resilience: Literary Listening and Indigenous Perspectives,Panel,Allied Organizations,30,"Genre, Theory, Method: Literary Criticism and Theory",Association for the Study of Literature and the Environment,,75
6869,The Uses of the University Press,Roundtable,Special Sessions,75,The Profession: Publishing and Editing,,,75
6871,Visualizing Difference in Twenty-First-Century French and Francophone Cinema,Panel,Special Sessions,20,"Genre, Theory, Method: Film, Television, and Other Media",,,75
6872,Performing Galdós on Stage and Screen,Panel,Allied Organizations,40,Spanish Literature: Eighteenth and Nineteenth Centuries,International Association of Galdós Scholars,,75
6876,Reevaluating the Pre-Raphaelites,Panel,Allied Organizations,50,British Literature: Nineteenth Century,William Morris Society,,75
6877,Human or Student? Faculty Members Respond to the Real Cocurriculum,Panel,Forum Sessions,50,The Profession: General,HEP Community Colleges,,75
6878,Ecosocialism and the Late Victorians,Panel,Allied Organizations,50,British Literature: Nineteenth Century,William Morris Society,Association for the Study of Literature and the Environment,75
6880,Apocalypse (Then and) Now,Panel,Special Sessions,25,American Literature: General,,,75
6883,Digital Humanities in Japan and Korea: Approaches and Challenges,Roundtable,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Korean,LLC Japanese since 1900,75
6887,Print and Digital Interfaces in Early Modern French Literature,Panel,Forum Sessions,20,"Genre, Theory, Method: Electronic Technology (Teaching, Research, and Theory)",LLC 17th-Century French,LLC 16th-Century French,75
6888,Court and Community: Arthurian Politics,Panel,Forum Sessions,30,Comparative Literature: Medieval and Renaissance,CLCS Arthurian,,75
6889,At the Borders of the Human in Japanese Literature and Culture since 1900,Panel,Forum Sessions,40,Asian Literatures: Asian Literatures,LLC Japanese since 1900,,75
